ФИО,Тип,Возраст,Пол,Знак зодиака,Партия,Образование,Работа,Должность,Судимость,Задекларированный доход,Сумма на банковских счетах
"Гильмутдинов Ильдар Ирекович",one_mandate,54,Мужской,Дева,Единая Россия,"Казанский государственный педагогический институт, 1983Высшая комсомольская школа при ЦК ВЛКСМ, 1989Федеральное государственное образовательное учреждение высшего профессионального образования 'Северо-Западная академия государственной службы', 2007","Государственная Дума Федерального Собрания Российской Федерации шестого созыва","депутат, член Комитета Государственной Думы по образованию","",0,0
"Хайруллин Айрат Назипович",one_mandate,46,Мужской,Лев,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Казанский государственный аграрный университет' (на год окончания - Казанский орден Знак Почета сельскохозяйственный институт имени М.Горького), 1991","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по аграрным вопросам","",0,0
"Когогина Альфия Гумаровна",one_mandate,48,Женский,Рыбы,Единая Россия,"Казанский государственный университет имени В.И. Ульянова-Ленина, 1991","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по промышленности","",0,0
"Хайров Ринат Шамильевич",one_mandate,52,Мужской,Рак,Единая Россия,"Казанский финансово-экономический институт им. В.В. Куйбышева, 1989","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по обороне","",0,0
"Минкин Иршат Султанович",one_mandate,53,Мужской,Лев,Единая Россия,"Казанский инженерно-строительный институт, 1987","Акционерное общество 'Казметрострой'","заместитель генерального директора по инвестиционным проектам и связям с инвесторами","",0,0
"Ооржак Мерген Дадар-оолович",one_mandate,35,Мужской,Рыбы,Единая Россия,"Тывинский Государственный Университет, 2003государственное образовательное учреждение высшего профессионального образования 'Российский государственный социальный университет', 2008","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации - представитель от исполнительного органа государственной власти Республики Тыва, член Комитета Совета Федерации по социальной политике","",0,0
"Загребин Алексей Егорович",one_mandate,44,Мужской,Рак,Единая Россия,"Удмуртский государственный университет, 1994Удмуртский государственный университет, 2003","Федеральное государственное бюджетное учреждение науки Удмуртский институт истории, языка и литературы Уральского отделения Российской академии наук","директор","",0,0
"Бузилов Валерий Викторович",one_mandate,63,Мужской,Весы,Единая Россия,"Ижевский механический институт, 1976","Государственный Совет Удмуртской Республики","депутат, председатель постоянной комиссии Государственного Совета Удмуртской Республики по экономической политике, промышленности и инвестициям","",0,0
"Максимова Надежда Сергеевна",one_mandate,74,Женский,Козерог,Единая Россия,"Московский финансовый институт, 1963","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя комитета Государственной Думы по бюджету и налогам","",0,0
"Делимханов Адам Султанович",one_mandate,47,Мужской,Весы,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего професионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2013Институт финансов и права, 2004","Государственная Дума Федерального Собрания Российской Федерации","депутат, первый заместитель председателя Комитета Государственной Думы по федеративному устройству и вопросам местного самоуправления","",0,0
"Черкесов Леонид Ильич",one_mandate,50,Мужской,Лев,Единая Россия,"'Чувашский государственный университет им. И.Н. Ульянова', 1989","Чебоксарское городское Собрание депутатов","депутат, глава города Чебоксары - председатель Чебоксарского городского Собрания депутатов","",0,0
"Бессарабов Даниил Владимирович",one_mandate,40,Мужской,Рак,Единая Россия,"Алтайский государственный университет, 1998Российская академия государственной службы при Президенте Российской Федерации, 2007","Администрация Алтайского края","заместитель Губернатора Алтайского края","",0,0
"Зобнев Виктор Викторович",one_mandate,52,Мужской,Близнец,Единая Россия,"Алтайский политехнический институт им. И. И. Ползунова, 1989","Открытое акционерное общество 'Рубцовский проектно-конструкторский технологический институт'","генеральный директор","",0,0
"Прокопьев Александр Сергеевич",one_mandate,30,Мужской,Лев,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования «Московская медицинская акадения имени И.М. Сеченова» Федерального агенства по здравоохранению и социальному развитию, 2008","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по охране здоровья","",0,0
"Лоор Иван Иванович",one_mandate,61,Мужской,Стрелец,Единая Россия,"Алтайский сельскохозяйственный институт, 1985Российская академия государственной службы при Президенте Российской Федерации, 2002","Алтайское краевое Законодательное Собрание","депутат, председатель Алтайского краевого Законодательного Собрания","",0,0
"Говорин Николай Васильевич",one_mandate,64,Мужской,Козерог,Единая Россия,"Читинский государственный медицинский институт, 1976","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по охране здоровья","",0,0
"Слыщенко Константин Григорьевич",one_mandate,51,Мужской,Рыбы,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Московский государственный индустриальный университет', 2012","Городская Дума Петропавловск-Камчатского городского округа","Глава Петропавловск-Камчатского городского округа","",0,0
"Евланов Владимир Лазаревич",one_mandate,68,Мужской,Лев,Единая Россия,"Кубанский государственный университет, 1991","администрация муниципального образования город Краснодар","глава муниципального образования город Краснодар","",0,0
"Ламейкин Дмитрий Викторович",one_mandate,39,Мужской,Рыбы,Единая Россия,"Российская академия государственной службы при Президенте Российской Федерации, 2006","Законодательное Собрание Краснодарского края","депутат, председатель комитета Законодательного Собрания Краснодарского края","",0,0
"Демченко Иван Иванович",one_mandate,56,Мужской,Весы,Единая Россия,"Украинская ордена Трудового Красного Знамени сельскохозяйственная академия, 1986","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по Регламенту и организации работы Государственной Думы","",0,0
"Синяговский Владимир Ильич",one_mandate,68,Мужской,Лев,Единая Россия,"Кубанский ордена Трудового Красного Знамени сельхозинститут, 1982Кубанский ордена Трудового Красного Знамени сельхозинститут, 1982","администрация муниципального образования город Новороссийск","глава муниципального образования город Новороссийск","",0,0
"Затулин Константин Федорович",one_mandate,58,Мужской,Дева,Единая Россия,"Московский государственный университет им. М.В. Ломоносова, 1981","Автономная некоммерческая организация 'Институт диаспоры и интеграции' ('Институт стран СНГ')","директор","",0,0
"Езубов Алексей Петрович",one_mandate,68,Мужской,Водолей,Единая Россия,"Орджоникидзевское зенитно-ракетное училище ПВО, 1969","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",0,0
"Боева Наталья Дмитриевна",one_mandate,65,Женский,Козерог,Единая Россия,"Ростовский-на-Дону институт народного хозяйства, 1981Ростовский на Дону институт народного хозяйства, 1981","ООО фирма 'Калория'","генеральный директор","",0,0
"Швыткин Юрий Николаевич",one_mandate,51,Мужской,Близнец,Единая Россия,"Академия управления МВД России, 1999","Законодательное Собрание Красноярского края","депутат, председатель комитета по вопросам законности и защиты прав граждан","",0,0
"Пимашков Петр Иванович",one_mandate,68,Мужской,Рак,Единая Россия,"Красноярская государственная академия цветных металлов и золота, 1996Сибирский технологический институт, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по конституционному законодательству и государственному строительству","",0,0
"Зубарев Виктор Владиславович",one_mandate,55,Мужской,Рыбы,Единая Россия,"Российская академия государственной службы при Президенте Российской Федерации, 2004Красноярский политехнический институт, 1983","Правительство Красноярского края","заместитель председателя Правительства Красноярского края - министр экономического развития, инвестиционной политики и внешних связей Красноярского края","",0,0
"Кармазина Раиса Васильевна",one_mandate,65,Женский,Козерог,Единая Россия,"Ростовский на Дону институт народного хозяйства, 1977","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по бюджету и налогам","",0,0
"Шубин Игорь Николаевич",one_mandate,61,Мужской,Стрелец,Единая Россия,"Пермский ордена Трудового Красного Знамени государственный университет им. А.М. Горького, 1984","Совет Федерации Федерального Собрания Российской Федерации","член Совета Федерации, член Комитета по бюджету и финансовым рынкам","",0,0
"Бурнашов Алексей Леонидович",one_mandate,43,Мужской,Рак,Единая Россия,"Академия права и управления, 2004","Законодательное Собрание Пермского края","депутат","",0,0
"Скриванов Дмитрий Станиславович",one_mandate,45,Мужской,Лев,Единая Россия,"Пермский ордена Трудового Красного Знамени государственный университет им. А.М. Горького, 1993","Акционерное общество 'Компания 'Дартс'","Директор по стратегическому развитию","",0,0
"Сазонов Дмитрий Валерьевич",one_mandate,43,Мужской,Дева,Единая Россия,"Пермский государственный университет, 1996Пермский государственный технический университет, 2000","Некоммерческое партнерство 'Аэродром Фролово ДОСААФ России'","директор","",0,0
"Сопчук Сергей Андреевич",one_mandate,52,Мужской,Водолей,Единая Россия,"Приморский сельскохозяйственный институт, 1986Российская академия государственной службы при Президенте Российской Федерации, 2007","закрытое акционерное общество 'Фаворит-Сервис'","генеральный директор","",0,0
"Новиков Владимир Михайлович",one_mandate,50,Мужской,Близнец,Единая Россия,"Дальневосточный ордена Трудового Красного Знамени политехнический институт им. В.В. Куйбышева, 1988","Администрация Артемовского городского округа","глава Артемовского городского округа","",0,0
"Николаева Виктория Викторовна",one_mandate,54,Женский,Скорпион,Единая Россия,"Дальневосточный технологический институт бытового обслуживания, 1985","Общество с ограниченной ответственностью 'Санаторий 'Амурский залив'","заместитель директора по социальной работе","",0,0
"Кузьмин Михаил Владимирович",one_mandate,61,Мужской,Лев,Единая Россия,"Ставропольский политехнический институт, 1980","Дума Ставропольского края","председатель комитета Думы Ставропольского края по природопользованию, экологии, курортно-туристической деятельности","",0,0
"Ищенко Александр Николаевич",one_mandate,57,Мужской,Рак,Единая Россия,"Ставропольский ордена Трудового Красного Знамени сельскохозяйственный институт, 1992Государственное образовательное учреждение высшего профессионального образования 'Северо-Кавказский государственный технический университет', 2003","Дума Ставропольского края","депутат","",0,0
"Казакова Ольга Михайловна",one_mandate,48,Женский,Близнец,Единая Россия,"Луганский государственный педагогический институт, 1990","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по делам общественных объединений и религиозных организаций","",0,0
"Бондаренко Елена Вениаминовна",one_mandate,48,Женский,Близнец,Единая Россия,"Федеральное государственное образовательное учреждение высшего профессионального образования 'Российская академия государственной службы при Президенте Российской Федерации', 2009Ставропольский государственный педагогический институт, 1990","Дума Ставропольского края","председатель комитета Думы Ставропольского края по культуре, молодежной политике, физической культуре и средствам массовой информации","",0,0
"Гладких Борис Михайлович",one_mandate,33,Мужской,Водолей,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Дальневосточный государственный университет путей сообщения', 2005","Законодательная Дума Хабаровского края","депутат, председатель постоянного комитета Законодательной Думы Хабаровского края по вопросам строительства, жилищно-коммунального хозяйства и топливно-энергетического комплекса","",0,0
"Юрков Дмитрий Васильевич",one_mandate,44,Мужской,Телец,Единая Россия,"Архангельский ордена 'Знак Почёта' государственный педагогический институт им. М.В. Ломоносова, 1995Поморский государственный университет имени М.В. Ломоносова, 1999","Федеральное государственное автономное образовательное учреждение высшего образования 'Северный (Арктический) федеральный университет имени М.В. Ломоносова'","доцент кафедры государственного и муниципального управления","",0,0
"Палкин Андрей Васильевич",one_mandate,58,Мужской,Рыбы,Единая Россия,"Лимендское речное училище МРФ РСФСР, 1982","","индивидуальный предприниматель","",0,0
"Огуль Леонид Анатольевич",one_mandate,53,Мужской,Скорпион,Единая Россия,"Астраханский государственный медицинский институт имени А.В. Луначарского, 1987","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по природным ресурсам, природопользованию и экологии","",0,0
"Боженов Сергей Андреевич",one_mandate,59,Мужской,Дева,Единая Россия,"Всесоюзный ордена Трудового Красного Знамени заочный политехнический институт, 1988Орловская региональная академия государственной службы, Белгородский филиал, 2002","Департамент образования Белгородской области","заместитель Губернатора Белгородской области","",0,0
"Скоч Андрей Владимирович",one_mandate,50,Мужской,Водолей,Единая Россия,"Московский государственный открытый педагогический университет, 1998","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","",0,0
"Жутенков Владимир Александрович",one_mandate,54,Мужской,Овен,Единая Россия,"Брянский политехнический техникум, 1981","Общество с ограниченной ответственностью 'Агрохолдинг 'ОХОТНО'","генеральный директор","",0,0
"Миронова Валентина Михайловна",one_mandate,50,Женский,Водолей,Единая Россия,"Брянский ордена 'Знак Почета' государственный педагогический институт имени академика И.Г. Петровского, 1987","муниципальное бюджетное общеобразовательное учреждение 'Средняя общеобразовательная школа № 43' г. Брянска","директор","",0,0
"Игошин Игорь Николаевич",one_mandate,46,Мужской,Стрелец,Единая Россия,"Московский государственный университет имени М.В. Ломоносова, 2001","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по экономической политике, инновационному развитию и предпринимательству","",0,0
"Аникеев Григорий Викторович",one_mandate,44,Мужской,Рыбы,Единая Россия,"Владимирский государственный технический университет, 1994","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по вопросам собственности","",0,0
"Кувычко Анна Александровна",one_mandate,37,Женский,Рак,Единая Россия,"Волгоградский государственный университет, 2002Волгоград, Государственное образовательное учреждение Высшего профессионального образования 'Волгоградский государственный университет', 2003","Волгоградская областаня Дума","депутат, председатель комитета Волгоградской областной Думы по образованию, науке, делам молодежи, физической культуре, спорту и туризму","",0,0
"Цыбизова Татьяна Игоревна",one_mandate,54,Женский,Весы,Единая Россия,"Волгоградский государственный медецинский институт, 1985Волгоградский государственный медецинский институт, 1985Волгоградская медицинская академия, 1999","Волгоградская областная Дума","депутат, председатель комитета Волгоградской областной Думы по культуре, делам национальностей и казачества, вопросам общественных объединений, религиозных организаций и информацонной политики","",0,0
"Плотников Владимир Николаевич",one_mandate,55,Мужской,Стрелец,Единая Россия,"Волгоградский сельско-хозяйственный институт, 1984Волгоградский сельско-хозяйственный институт, 1984Дипломатическая академия МИД России, 1997","Волгоградская областная Дума","депутат, заместитель председателя Волгоградской областной Думы","",0,0
"Гусева Ирина Михайловна",one_mandate,44,Женский,Телец,Единая Россия,"Волгоградский государственный педагогический университет, 1994Волгоградский государственный педагогический университет, 2000","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству","",0,0
"Шулепов Евгений Борисович",one_mandate,58,Мужской,Близнец,Единая Россия,"федеральное государственное бюджетное образовательное учреждение высшего образования 'Вологодский государственный университет', 1980","","Глава города Вологды","",0,0
"Канаев Алексей Валерианович",one_mandate,45,Мужской,Весы,Единая Россия,"Негосударственное образовательное учреждение высшего профессионального образования Международный институт менеджмента ЛИНК, 2009","Законодательное Собрание Вологодской области","депутат, заместитель председателя Законодательного Собрания области","",0,0
"Пономарев Аркадий Николаевич",one_mandate,60,Мужской,Телец,Единая Россия,"Воронежский технологический институт, 1978","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по аграрным вопросам","",0,0
"Чижов Сергей Викторович",one_mandate,52,Мужской,Рыбы,Единая Россия,"Московский коммерческий институт, 1991Российская академия государственной службы при Президенте РФ Воронежский филиал, 2003Государственное образовательное учреждение 'Дипломатическая академия Министерства иностранных дел Российской Федерации', 2007","Государственная Дума Федерального собрания Российской Федерации","депутат, член Комитета Государственной Думы по бюджету и налогам, член Всероссийской политической партии 'ЕДИНАЯ РОССИЯ', член Регионального политического совета Воронежского регионального отделения","",0,0
"Марков Андрей Павлович",one_mandate,44,Мужской,Рак,Единая Россия,"Воронежский государственный университет, 1994Институт переподготовки и повышения квалификации сотрудников ФСБ РФ, 1995","Правительство Воронежской области","первый заместитель руководителя аппарата губернатора и правительства Воронежской области","",0,0
"Хохлов Алексей Алексеевич",one_mandate,59,Мужской,Скорпион,Единая Россия,"Ивановский энергетический институт имени В.И. Ленина, 1980","Администрация города Иванова","Глава города Иванова","",0,0
"Смирнов Юрий Валентинович",one_mandate,64,Мужской,Стрелец,Единая Россия,"Московский институт тонкой химической технологии им. Ломоносова, 1976","Открытое акционерное общество Центральная коммерческо-сервисная организация 'Орбита'","Председатель совета директоров","",0,0
"Красноштанов Алексей Николаевич",one_mandate,53,Мужской,Близнец,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Байкальский государственный университет экономики и права», 1990","ООО 'Финансово-строительная компания 'ДомСтрой'","генеральный директор","",0,0
"Тен Сергей Юрьевич",one_mandate,40,Мужской,Дева,Единая Россия,"Московская государственная юридическая академия, 1999","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по транспорту","",0,0
"Чернышев Андрей Владимирович",one_mandate,46,Мужской,Рак,Единая Россия,"Братский индустриальный институт, 1997Иркутский государственный университет, 2004","ООО 'МЕТТЭМ-ЭнергоИнжиниринг'","директор по развитию","",0,0
"Пятикоп Александр Иванович",one_mandate,54,Мужской,Стрелец,Единая Россия,"Калининградский государственный университет, 1986Калининградский государственный университет, 2000Государственное образовательное учреждение высшего профессионального образования 'Северо-Западная академия государственной службы', 2005","Калининградский филиал федерального государственного бюджетного образовательного учреждения высшего образования 'Российский экономический университет имени Г.В. Плеханова'","начальник отделения дополнительного образования","",0,0
"Силанов Алексей Николаевич",one_mandate,55,Мужской,Овен,Единая Россия,"Калининградский государственный университет, 1988","Правительство Калининградской области","заместитель Председателя Правительства Калининградской области","",0,0
"Авдеев Александр Александрович",one_mandate,41,Мужской,Лев,Единая Россия,"Московский государственный технический университет имени Н.Э. Баумана, 1998Московский государственный технический университет имени Н.Э. Баумана, 1999","Администрация Губернатора Калужской области","заместитель Губернатора Калужской области","",0,0
"Скляр Геннадий Иванович",one_mandate,64,Мужской,Телец,Единая Россия,"Ростовский-на-Дону институт сельскохозяйственного машиностроения, 1974Московская высшая партийная школа, 1989","Фонд поддержки и развития технологий общественной безопасности 'Концепт'","Президент Фонда поддержки и развития технологий общественной безопасности 'Концепт'","",0,0
"Алексеева Татьяна Олеговна",one_mandate,54,Женский,Стрелец,Единая Россия,"Кемеровский государственный университет, 1985","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по бюджету и налогам","",0,0
"Исламов Дмитрий Викторович",one_mandate,39,Мужской,Стрелец,Единая Россия,"Кузбасский государственный технический университет, 2000","Администрация Кемеровской области","заместитель Губернатора Кемеровской области (по экономике и региональному развитию)","",0,0
"Федяев Павел Михайлович",one_mandate,34,Мужской,Лев,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования 'Кузбасский государственный технический университет', 2004федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Кемеровский государственный университет', 2015Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации', 2015","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по аграрным вопросам","",0,0
"Максимов Александр Александрович",one_mandate,70,Мужской,Скорпион,Единая Россия,"Челябинский политехнический институт им. Ленинского комсомола, 1971","Акционерное общество 'Кузнецкие ферросплавы'","генеральный директор","",0,0
"Азимов Рахим Азизбоевич",one_mandate,52,Мужской,Лев,Единая Россия,"Ленинградский орденов Ленина, Октябрьской Революции и Трудового Красного Знамени горный институт им. Г.В. Плеханова, 1986","филиал 'КЧХК' Акционерного общества 'Объединенная химическая компания 'УРАЛХИМ' в городе Кирово-Чепецке","заместитель директора филиала по социальным вопросам и взаимодействию с органами власти","",0,0
"Валенчук Олег Дорианович",one_mandate,56,Мужской,Дева,Единая Россия,"Кировский государственный педагогический институт им. В.И. Ленина, 1981","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по земельным отношениям и строительству","",4895153.61,4171138.59
"Ситников Алексей Владимирович",one_mandate,45,Мужской,Близнец,Единая Россия,"Московская ордена Ленина и ордена Трудового Красного Знамени сельскохозяйственная академия им. К.А. Тимирязева, 1993","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по экономической политике, инновационному развитию и предпринимательству","",0,0
"Ильтяков Александр Владимирович",one_mandate,45,Мужской,Весы,Единая Россия,"Московский государственный университет прикладной биотехнологии, 2001федеральное государственное бюджетное образовательное учреждение высшего профессионального образования'Курганский государственный университет', 2014","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета по вопросам собственности","",0,0
"Воронина Татьяна Евгеньевна",one_mandate,54,Женский,Козерог,Единая Россия,"Всесоюзный заочный институт инженеров железнодорожного транспорта, 1987","Курская областная Дума","депутат, председатель Курской областной Думы","",0,0
"Карамышев Виктор Николаевич",one_mandate,50,Мужской,Стрелец,Единая Россия,"Курский государственный педагогический институт, 1992","Курская областная Дума","депутат, первый заместитель председателя Курской областной Думы","",0,0
"Драчев Владимир Петрович",one_mandate,50,Мужской,Рыбы,Единая Россия,"Военный дважды Краснознаменный институт физической культуры, 1987","администрация муниципального образования 'Всеволожский муниципальный район' Ленинградской области","глава администрации","",0,0
